"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 06월 04일","187,500","193,000","196,000","187,000","151.40K","-3.35%"
"2015년 06월 03일","194,000","198,000","199,000","193,000","121.10K","-0.77%"
"2015년 06월 02일","195,500","195,000","200,000","191,500","113.77K","-0.26%"
"2015년 06월 01일","196,000","194,500","197,500","189,500","128.31K","-0.51%"
"2015년 05월 29일","197,000","194,000","199,500","193,000","150.04K","1.03%"
"2015년 05월 28일","195,000","200,500","201,000","193,000","200.07K","-3.23%"
"2015년 05월 27일","201,500","207,000","208,500","198,000","210.27K","-3.82%"
"2015년 05월 26일","209,500","210,500","212,000","206,500","77.88K","-0.24%"
"2015년 05월 22일","210,000","210,000","213,000","208,500","111.96K","0.96%"
"2015년 05월 21일","208,000","217,000","219,500","208,000","177.83K","-4.81%"
"2015년 05월 20일","218,500","212,000","220,000","210,500","152.86K","3.80%"
"2015년 05월 19일","210,500","213,000","214,000","207,500","146.79K","-1.64%"
"2015년 05월 18일","214,000","213,000","215,500","210,500","81.04K","0.94%"
"2015년 05월 17일","212,000","212,000","212,000","212,000","0.00K","0.00%"
"2015년 05월 15일","212,000","218,000","220,000","211,500","152.24K","-2.75%"
"2015년 05월 14일","218,000","217,000","224,500","216,000","243.85K","0.46%"
"2015년 05월 13일","217,000","195,000","217,500","193,000","446.18K","6.37%"
"2015년 05월 12일","204,000","202,500","209,500","202,500","148.53K","1.49%"
"2015년 05월 11일","201,000","207,000","209,000","200,500","118.66K","-2.90%"
"2015년 05월 10일","207,000","207,000","207,000","207,000","-","0.00%"
"2015년 05월 08일","207,000","208,000","211,000","205,500","95.85K","0.49%"
"2015년 05월 07일","206,000","202,000","210,000","201,500","170.59K","3.00%"
"2015년 05월 06일","200,000","205,000","208,000","199,000","119.08K","-2.68%"
"2015년 05월 05일","205,500","205,500","205,500","205,500","-","0.00%"
"2015년 05월 04일","205,500","205,000","212,000","205,000","96.67K","0.49%"
"2015년 05월 03일","204,500","204,500","204,500","204,500","0.01K","0.00%"
"2015년 04월 30일","204,500","211,000","212,500","204,500","159.81K","-3.99%"
"2015년 04월 29일","213,000","213,000","216,000","210,000","139.78K","1.19%"
"2015년 04월 28일","210,500","212,000","214,500","209,000","185.93K","-0.24%"
"2015년 04월 27일","211,000","208,000","213,500","207,500","242.85K","2.43%"
"2015년 04월 26일","206,000","206,000","206,000","206,000","0.37K","0.00%"
"2015년 04월 24일","206,000","206,000","208,000","201,500","233.61K","0.73%"
"2015년 04월 23일","204,500","199,500","207,500","198,000","548.19K","5.14%"
"2015년 04월 22일","194,500","197,000","200,000","188,000","268.73K","1.04%"
"2015년 04월 21일","192,500","186,000","193,500","184,500","243.82K","3.49%"
"2015년 04월 20일","186,000","183,000","187,500","182,000","118.91K","0.54%"
"2015년 04월 19일","185,000","185,000","185,000","185,000","0.08K","0.00%"
"2015년 04월 17일","185,000","183,500","186,500","183,000","113.10K","1.09%"
"2015년 04월 16일","183,000","185,500","187,000","181,500","219.13K","-2.14%"
"2015년 04월 15일","187,000","188,500","189,500","185,500","116.49K","-0.80%"
"2015년 04월 14일","188,500","187,000","190,500","185,000","150.63K","0.53%"
"2015년 04월 13일","187,500","194,500","195,000","184,500","359.44K","-4.82%"
"2015년 04월 12일","197,000","197,000","197,000","197,000","0.45K","0.00%"
"2015년 04월 10일","197,000","196,500","199,000","193,500","143.09K","0.00%"
"2015년 04월 09일","197,000","197,500","198,500","195,000","174.35K","0.00%"
"2015년 04월 08일","197,000","185,500","197,000","185,500","313.55K","6.49%"
"2015년 04월 07일","185,000","188,000","188,500","184,000","74.29K","-0.27%"
"2015년 04월 06일","185,500","187,000","189,000","185,500","105.97K","-1.07%"
"2015년 04월 05일","187,500","187,500","187,500","187,500","0.54K","0.00%"
"2015년 04월 03일","187,500","183,500","188,500","183,000","178.86K","3.02%"
"2015년 04월 02일","182,000","186,000","186,500","181,000","220.94K","-2.15%"
"2015년 04월 01일","186,000","182,500","187,500","182,000","346.96K","2.48%"
"2015년 03월 31일","181,500","175,500","182,000","174,000","323.60K","5.22%"
"2015년 03월 30일","172,500","173,000","175,000","171,500","73.66K","-0.58%"
"2015년 03월 29일","173,500","173,500","173,500","173,500","0.17K","0.00%"
"2015년 03월 27일","173,500","179,000","179,000","170,000","196.95K","-1.98%"
"2015년 03월 26일","177,000","175,000","178,000","174,500","124.03K","0.00%"
"2015년 03월 25일","177,000","175,000","177,000","173,500","99.24K","1.14%"
"2015년 03월 24일","175,000","173,000","175,500","173,000","90.29K","0.86%"
"2015년 03월 23일","173,500","173,500","175,500","172,000","119.17K","0.58%"
"2015년 03월 22일","172,500","172,500","172,500","172,500","0.13K","0.00%"
"2015년 03월 20일","172,500","170,500","172,500","168,000","197.85K","2.07%"
"2015년 03월 19일","169,000","175,500","176,000","167,000","426.80K","-3.15%"
"2015년 03월 18일","174,500","182,000","186,500","173,000","288.58K","-3.86%"
"2015년 03월 17일","181,500","183,000","183,000","180,500","93.71K","0.28%"
"2015년 03월 16일","181,000","184,500","184,500","179,500","102.37K","-1.09%"
"2015년 03월 15일","183,000","183,000","183,000","183,000","0.16K","0.00%"
"2015년 03월 13일","183,000","178,000","183,500","177,500","247.65K","3.98%"
"2015년 03월 12일","176,000","175,000","179,000","173,000","242.33K","1.15%"
"2015년 03월 11일","174,000","170,500","177,000","170,500","277.13K","1.46%"
"2015년 03월 10일","171,500","179,000","179,500","169,000","514.15K","-3.92%"
"2015년 03월 09일","178,500","188,000","188,000","177,500","259.56K","-5.56%"
"2015년 03월 08일","189,000","189,000","189,000","189,000","0.32K","0.00%"
"2015년 03월 06일","189,000","184,500","189,500","184,000","370.27K","3.28%"
"2015년 03월 05일","183,000","182,500","187,000","181,500","306.16K","0.83%"
"2015년 03월 04일","181,500","182,500","183,000","180,000","225.24K","0.00%"
"2015년 03월 03일","181,500","182,000","185,500","178,500","340.71K","0.55%"
"2015년 03월 02일","180,500","178,000","180,500","175,500","258.37K","1.12%"
"2015년 03월 01일","178,500","178,500","178,500","178,500","0.04K","0.00%"
"2015년 02월 27일","178,500","183,500","184,000","176,500","367.31K","-1.92%"
"2015년 02월 26일","182,000","181,000","183,000","179,000","249.61K","1.11%"
"2015년 02월 25일","180,000","191,000","192,000","179,000","745.74K","-5.51%"
"2015년 02월 24일","190,500","192,500","197,000","190,000","373.75K","0.26%"
"2015년 02월 23일","190,000","190,000","193,000","188,000","259.39K","0.26%"
