"날짜","종가","오픈","고가","저가","변동"
"2011년 09월 13일","1,077.25","1,077.25","1,077.25","1,077.25","0.00%"
"2011년 09월 12일","1,077.25","1,077.00","1,077.25","1,077.00","-0.02%"
"2011년 09월 09일","1,077.50","1,075.40","1,078.80","1,074.20","0.14%"
"2011년 09월 08일","1,076.00","1,068.40","1,076.55","1,068.40","0.59%"
"2011년 09월 07일","1,069.65","1,072.40","1,073.30","1,069.50","-0.47%"
"2011년 09월 06일","1,074.65","1,070.90","1,077.50","1,069.50","0.47%"
"2011년 09월 05일","1,069.60","1,066.40","1,070.55","1,066.30","0.38%"
"2011년 09월 02일","1,065.60","1,062.40","1,066.20","1,060.50","0.11%"
"2011년 09월 01일","1,064.40","1,066.90","1,067.30","1,060.40","-0.09%"
"2011년 08월 31일","1,065.40","1,071.90","1,074.20","1,063.50","-0.51%"
"2011년 08월 30일","1,070.85","1,073.40","1,075.10","1,070.40","-0.31%"
"2011년 08월 29일","1,074.20","1,077.40","1,079.50","1,073.00","-0.54%"
"2011년 08월 26일","1,080.00","1,088.40","1,088.40","1,080.00","-0.87%"
"2011년 08월 25일","1,089.50","1,082.30","1,090.50","1,080.30","0.55%"
"2011년 08월 24일","1,083.50","1,074.30","1,084.25","1,073.90","0.51%"
"2011년 08월 23일","1,078.00","1,082.80","1,083.40","1,075.65","-0.51%"
"2011년 08월 22일","1,083.55","1,084.40","1,085.80","1,079.25","-0.35%"
"2011년 08월 19일","1,087.35","1,082.35","1,087.75","1,078.75","0.37%"
"2011년 08월 18일","1,083.30","1,068.60","1,083.30","1,068.60","1.36%"
"2011년 08월 17일","1,068.80","1,071.65","1,075.15","1,068.80","-0.23%"
"2011년 08월 16일","1,071.25","1,074.60","1,074.60","1,067.60","0.25%"
"2011년 08월 15일","1,068.55","1,079.50","1,079.50","1,068.30","-0.97%"
"2011년 08월 12일","1,079.05","1,072.05","1,082.85","1,072.05","0.06%"
"2011년 08월 11일","1,078.45","1,087.65","1,090.55","1,078.45","-0.48%"
"2011년 08월 10일","1,083.65","1,074.60","1,084.50","1,073.60","-0.19%"
"2011년 08월 09일","1,085.70","1,089.20","1,096.60","1,085.45","-0.01%"
"2011년 08월 08일","1,085.85","1,072.60","1,085.85","1,067.80","1.73%"
"2011년 08월 05일","1,067.40","1,072.10","1,074.40","1,066.00","0.54%"
"2011년 08월 04일","1,061.70","1,057.00","1,062.00","1,055.20","0.34%"
"2011년 08월 03일","1,058.05","1,057.50","1,061.10","1,056.60","0.47%"
"2011년 08월 02일","1,053.10","1,050.60","1,053.10","1,050.60","0.30%"
"2011년 08월 01일","1,050.00","1,052.50","1,052.60","1,048.65","-0.41%"
"2011년 07월 29일","1,054.30","1,052.20","1,054.30","1,051.90","0.08%"
"2011년 07월 28일","1,053.50","1,054.30","1,055.10","1,051.80","-0.04%"
"2011년 07월 27일","1,053.95","1,050.00","1,053.95","1,049.50","0.43%"
"2011년 07월 26일","1,049.40","1,054.60","1,056.20","1,048.65","-0.52%"
"2011년 07월 25일","1,054.90","1,051.80","1,056.90","1,051.80","0.38%"
"2011년 07월 22일","1,050.88","1,050.83","1,052.83","1,050.33","-0.03%"
"2011년 07월 21일","1,051.15","1,053.60","1,056.60","1,051.15","-0.31%"
"2011년 07월 20일","1,054.40","1,055.00","1,056.50","1,054.15","-0.23%"
"2011년 07월 19일","1,056.85","1,060.10","1,061.60","1,056.85","-0.35%"
"2011년 07월 18일","1,060.55","1,059.60","1,063.20","1,059.60","0.19%"
"2011년 07월 15일","1,058.55","1,057.55","1,058.75","1,056.35","0.05%"
"2011년 07월 14일","1,058.00","1,055.90","1,059.50","1,054.20","0.11%"
"2011년 07월 13일","1,056.80","1,064.50","1,066.70","1,054.80","-0.77%"
"2011년 07월 12일","1,065.00","1,065.00","1,068.70","1,063.75","0.66%"
"2011년 07월 11일","1,058.00","1,058.90","1,062.80","1,057.50","0.10%"
"2011년 07월 08일","1,056.95","1,060.15","1,060.25","1,056.15","-0.66%"
"2011년 07월 07일","1,064.00","1,063.90","1,066.10","1,063.40","-0.18%"
"2011년 07월 06일","1,065.95","1,068.60","1,068.60","1,063.60","-0.08%"
"2011년 07월 05일","1,066.85","1,062.50","1,067.90","1,062.50","0.32%"
"2011년 07월 04일","1,063.45","1,064.05","1,065.25","1,062.05","-0.17%"
"2011년 07월 01일","1,065.25","1,067.50","1,069.50","1,063.60","-0.16%"
"2011년 06월 30일","1,067.00","1,071.10","1,073.00","1,066.50","-0.56%"
"2011년 06월 29일","1,073.00","1,077.50","1,080.50","1,073.00","-0.72%"
"2011년 06월 28일","1,080.75","1,081.60","1,084.30","1,080.70","-0.26%"
"2011년 06월 27일","1,083.60","1,083.60","1,089.30","1,083.10","0.44%"
"2011년 06월 24일","1,078.85","1,078.95","1,079.55","1,076.05","-0.15%"
"2011년 06월 23일","1,080.50","1,076.60","1,084.55","1,075.20","0.58%"
"2011년 06월 22일","1,074.30","1,075.60","1,077.60","1,073.50","-0.10%"
"2011년 06월 21일","1,075.40","1,083.40","1,085.10","1,075.15","-0.74%"
"2011년 06월 20일","1,083.40","1,081.60","1,086.50","1,080.50","-0.23%"
"2011년 06월 17일","1,085.95","1,088.95","1,089.05","1,083.05","-0.54%"
"2011년 06월 16일","1,091.85","1,088.60","1,092.10","1,087.30","0.39%"
"2011년 06월 15일","1,087.65","1,081.60","1,089.65","1,080.70","0.59%"
"2011년 06월 14일","1,081.25","1,085.60","1,086.70","1,080.50","-0.52%"
"2011년 06월 13일","1,086.95","1,087.60","1,087.70","1,085.20","0.23%"
"2011년 06월 10일","1,084.50","1,082.40","1,084.50","1,078.10","0.33%"
"2011년 06월 09일","1,080.95","1,085.60","1,085.60","1,080.95","-0.28%"
"2011년 06월 08일","1,084.00","1,077.50","1,085.10","1,077.50","0.61%"
"2011년 06월 07일","1,077.40","1,081.80","1,083.10","1,076.40","-0.24%"
"2011년 06월 06일","1,080.00","1,078.30","1,080.50","1,078.30","0.23%"
"2011년 06월 03일","1,077.50","1,075.40","1,082.30","1,075.00","-0.35%"
"2011년 06월 02일","1,081.25","1,082.65","1,083.65","1,077.85","0.27%"
"2011년 06월 01일","1,078.35","1,077.60","1,079.30","1,074.50","-0.01%"
